Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Allergenic properties	Biotechnological use	Involvement in disease	Disruption phenotype	Mutagenesis	Cross-reference (IntAct)	Cross-reference (STRING)	Cross-reference (PDB)
P62575	NANA_STREE	reviewed	Sialidase A (EC 3.2.1.18) (Neuraminidase A)	nanA	Streptococcus pneumoniae	1035								2VVZ;2YA4;2YA5;2YA6;2YA7;2YA8;4C1X;4ZXK;5KKY;7A54;7A5X;
O43765	SGTA_HUMAN	reviewed	Small glutamine-rich tetratricopeptide repeat-containing protein alpha (Alpha-SGT) (Vpu-binding protein) (UBP)	SGTA SGT SGT1	Homo sapiens (Human)	313					"MUTAGEN 38;  /note=""C->A: Reduces tail-anchored proteins transfer."";  /evidence=""ECO:0000269|PubMed:25535373"""	O43765;	9606.ENSP00000221566;	2VYI;4CPG;4GOD;4GOE;4GOF;
Q86YC2	PALB2_HUMAN	reviewed	Partner and localizer of BRCA2	PALB2 FANCN	Homo sapiens (Human)	1186			DISEASE: Breast cancer (BC) [MIM:114480]: A common malignancy originating from breast epithelial tissue. Breast neoplasms can be distinguished by their histologic pattern. Invasive ductal carcinoma is by far the most common type. Breast cancer is etiologically and genetically heterogeneous. Important genetic factors have been indicated by familial occurrence and bilateral involvement. Mutations at more than one locus can be involved in different families or even in the same case. {ECO:0000269|PubMed:17287723, ECO:0000269|PubMed:22241545, ECO:0000269|PubMed:28319063}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry. Breast cancer susceptibility is strongly associated with PALB2 truncating mutations. Conversely, rare missense mutations do not strongly influence breast cancer risk (PubMed:22241545). {ECO:0000269|PubMed:22241545}.; DISEASE: Fanconi anemia complementation group N (FANCN) [MIM:610832]: A disorder affecting all bone marrow elements and resulting in anemia, leukopenia and thrombopenia. It is associated with cardiac, renal and limb malformations, dermal pigmentary changes, and a predisposition to the development of malignancies. At the cellular level it is associated with hypersensitivity to DNA-damaging agents, chromosomal instability (increased chromosome breakage) and defective DNA repair. {ECO:0000269|PubMed:17200672}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Pancreatic cancer 3 (PNCA3) [MIM:613348]: A malignant neoplasm of the pancreas. Tumors can arise from both the exocrine and endocrine portions of the pancreas, but 95% of them develop from the exocrine portion, including the ductal epithelium, acinar cells, connective tissue, and lymphatic tissue. {ECO:0000269|PubMed:19264984}. Note=The disease is caused by variants affecting the gene represented in this entry.		"MUTAGEN 14;  /note=""K->A: Loss of interaction with BRCA1 but no effect on interaction with BRCA2."";  /evidence=""ECO:0000269|PubMed:19369211""; MUTAGEN 21;  /note=""L->A: Loss of interaction with BRCA1 but no effect on interaction with BRCA2."";  /evidence=""ECO:0000269|PubMed:19369211""; MUTAGEN 28;  /note=""Y->A: Loss of interaction with BRCA1 but no effect on interaction with BRCA2."";  /evidence=""ECO:0000269|PubMed:19369211""; MUTAGEN 35;  /note=""L->A: Loss of interaction with BRCA1 but no effect on interaction with BRCA2."";  /evidence=""ECO:0000269|PubMed:19369211""; MUTAGEN 42;  /note=""E->A: Loss of interaction with BRCA1 but no effect on interaction with BRCA2."";  /evidence=""ECO:0000269|PubMed:19369211""; MUTAGEN 1030;  /note=""T->I: Unstable and promotes protein degradation; reduces interaction with RAD51C and RAD51."";  /evidence=""ECO:0000269|PubMed:24141787"""	Q86YC2;	9606.ENSP00000261584;	2W18;3EU7;
Q8T6U0	Q8T6U0_9CNID	unreviewed	Green fluorescent protein		Dendronephthya sp. SSAL-2002	225								2VZX;5EXB;5EXC;
P62576	NANA_STRR6	reviewed	Sialidase A (EC 3.2.1.18) (Neuraminidase A)	nanA spr1536	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	1035							171101.spr1536;	2W20;3H71;3H72;3H73;
Q9L6G4	Q9L6G4_PSEAI	unreviewed	Exo-alpha-sialidase (Sialidase)	DT376_07370 ECC04_003015 IPC116_12015	Pseudomonas aeruginosa	438								2W38;3H6J;
Q9IH62	GLYCP_NIPAV	reviewed	Glycoprotein G	G	Nipah virus	602						Q9IH62;		2VSM;2VWD;3D11;3D12;6VY5;
O60763	USO1_HUMAN	reviewed	General vesicular transport factor p115 (Protein USO1 homolog) (Transcytosis-associated protein) (TAP) (Vesicle-docking protein)	USO1 VDP	Homo sapiens (Human)	962					"MUTAGEN 942;  /note=""S->A: Loss of phosphorylation. Promotes association with Golgi membranes."";  /evidence=""ECO:0000269|PubMed:9478999""; MUTAGEN 942;  /note=""S->D: Decreased association with Golgi membranes."";  /evidence=""ECO:0000269|PubMed:9478999"""	O60763;	9606.ENSP00000444850;	2W3C;
I1RH17	I1RH17_GIBZE	unreviewed	Uncharacterized protein	FG03054.1 FGRAMPH1_01T11943	Gibberella zeae (strain ATCC MYA-4620 / CBS 123657 / FGSC 9075 / NRRL 31084 / PH-1) (Wheat head blight fungus) (Fusarium graminearum)	381								2W5N;
Q837D8	Q837D8_ENTFA	unreviewed	Pentapeptide repeat family protein	EF_0905	Enterococcus faecalis (strain ATCC 700802 / V583)	211							226185.EF_0905;	2W7Z;
Q9JXV4	Q9JXV4_NEIMB	unreviewed	Lipoprot_C domain-containing protein	NMB1870	Neisseria meningitidis serogroup B (strain MC58)	320						Q9JXV4;		2W80;2W81;2Y7S;2YPV;4AYD;4AYE;5NQX;5NQZ;5O14;5T5F;6XZW;
Q96QV1	HHIP_HUMAN	reviewed	Hedgehog-interacting protein (HHIP) (HIP)	HHIP HIP UNQ5825/PRO19644	Homo sapiens (Human)	700					"MUTAGEN 380;  /note=""E->A: Abolishes SHH binding."";  /evidence=""ECO:0000269|PubMed:19561609""; MUTAGEN 382;  /note=""M->A: Abolishes SHH binding."";  /evidence=""ECO:0000269|PubMed:19561609""; MUTAGEN 383;  /note=""D->A,R: Abolishes SHH binding."";  /evidence=""ECO:0000269|PubMed:19561609, ECO:0000269|PubMed:19561611""; MUTAGEN 387;  /note=""D->A: Abolishes SHH binding."";  /evidence=""ECO:0000269|PubMed:19561609"""	Q96QV1;	9606.ENSP00000296575;	2WFT;2WFX;2WG3;2WG4;3HO3;3HO4;3HO5;
Q09065	UREF_HELPY	reviewed	Urease accessory protein UreF	ureF HP_0069	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	254				DISRUPTION PHENOTYPE: Cells do not express urease. {ECO:0000269|PubMed:1313413}.		Q09065;	85962.C694_00330;	2WGL;3CXN;3O1Q;3SF5;4HI0;
G1K3N4	MAN5_SALAG	reviewed	Mannan endo-1,4-beta-mannosidase (EC 3.2.1.78) (Mannanase 5A) (Man5A) (Mannanase A) (ManA)		Salipaludibacillus agaradhaerens (Bacillus agaradhaerens)	308								2WHJ;
Q5YEX6	Q5YEX6_9BACI	unreviewed	Beta-mannanase (EC 3.2.1.78) (Endo-1,4-beta-mannosidase)	manA	Bacillus sp. N16-5	493								2WHL;3JUG;
Q93S40	OATWY_NEIME	reviewed	Polysialic acid O-acetyltransferase (EC 2.3.1.-) (Polysialyltransferase) (PST)	oatWY siaD	Neisseria meningitidis	215					"MUTAGEN 121;  /note=""H->A: Reduces activity 50-fold."";  /evidence=""ECO:0000269|PubMed:19525232""; MUTAGEN 145;  /note=""W->A: Reduces activity 56-fold."";  /evidence=""ECO:0000269|PubMed:19525232""; MUTAGEN 171;  /note=""Y->A: Reduces activity 48-fold."";  /evidence=""ECO:0000269|PubMed:19525232"""			2WLC;2WLD;2WLE;2WLF;2WLG;
Q9ER30	KLH41_RAT	reviewed	Kelch-like protein 41 (Kel-like protein 23) (Kelch repeat and BTB domain-containing protein 10) (Kelch-related protein 1) (Sarcosin)	Klhl41 Kbtbd10 Krp1	Rattus norvegicus (Rat)	606						Q9ER30;	10116.ENSRNOP00000009969;	2WOZ;
Q53G59	KLH12_HUMAN	reviewed	Kelch-like protein 12 (CUL3-interacting protein 1) (DKIR homolog) (hDKIR)	KLHL12 C3IP1	Homo sapiens (Human)	568					"MUTAGEN 15;  /note=""H->A: Abolished ubiquitination by the SCF(FBXL17) complex."";  /evidence=""ECO:0000269|PubMed:30190310""; MUTAGEN 34;  /note=""D->A: Abolished ubiquitination by the SCF(FBXL17) complex."";  /evidence=""ECO:0000269|PubMed:30190310""; MUTAGEN 50;  /note=""V->A: Increased recognition and ubiquitination by the SCF(FBXL17) complex."";  /evidence=""ECO:0000269|PubMed:30190310""; MUTAGEN 60;  /note=""A->E,K: Abolished ubiquitination by the SCF(FBXL17) complex."";  /evidence=""ECO:0000269|PubMed:30190310""; MUTAGEN 289..290;  /note=""FG->AA: Abolishes interaction with SEC31A and subsequent monoubiquitination of SEC31A. Abolishes ubiquitination of PEF1."";  /evidence=""ECO:0000269|PubMed:22358839, ECO:0000269|Ref.3"""	Q53G59;	9606.ENSP00000356230;	2VPJ;6TTK;6V7O;
Q8ZL64	SADA_SALTY	reviewed	Autotransporter adhesin SadA (Salmonella adhesin A) (Type 5 secretion system autotransporter SadA)	sadA STM3691	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	1461				DISRUPTION PHENOTYPE: In vitro, loss of sadA does not affect cell aggregation, biofilm formation and adhesion to epithelial cells. Disruption does not affect the course of infection. {ECO:0000269|PubMed:21859856}.				2WPQ;2WPR;2WPS;2YNY;2YNZ;2YO0;2YO1;2YO2;2YO3;3ZMF;
Q7DDU0	Q7DDU0_NEIMB	unreviewed	Polysialic acid capsule biosynthesis protein SiaC	siaC NMB0068	Neisseria meningitidis serogroup B (strain MC58)	349								2WQP;
Q8DP07	Q8DP07_STRR6	unreviewed	1,4-beta-N-acetylmuramidase (EC 3.2.1.17)	lytC spr1431	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	501							171101.spr1431;	2WW5;2WWC;2WWD;
A0QV09	Y2407_MYCS2	reviewed	Uncharacterized oxidoreductase MSMEG_2407/MSMEI_2346 (EC 1.-.-.-)	MSMEG_2407 MSMEI_2346	Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) (Mycobacterium smegmatis)	283							246196.MSMEI_2346;	2WZM;2WZT;
Q9VEC5	Q9VEC5_DROME	unreviewed	Importin-13	cdm 3R23 Cdm CG 7212 Dmel\CG7212 Imp13 imp13 sd-5 CG7212 Dmel_CG7212	Drosophila melanogaster (Fruit fly)	971							7227.FBpp0083039;	2X1G;3ZKV;
O94829	IPO13_HUMAN	reviewed	Importin-13 (Imp13) (Karyopherin-13) (Kap13) (Ran-binding protein 13) (RanBP13)	IPO13 KIAA0724 RANBP13	Homo sapiens (Human)	963						O94829;	9606.ENSP00000361418;	2X19;2XWU;3ZJY;
O09496	O09496_9CAUD	unreviewed	K5 lyase		Escherichia virus K5	632								2X3H;
Q12125	GET4_YEAST	reviewed	Golgi to ER traffic protein 4 (Guided entry of tail-anchored proteins 4)	GET4 YOR164C O3580	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	312						Q12125;	4932.YOR164C;	2WPV;3LKU;4PWX;5BW8;5BWK;
Q9I325	Q9I325_PSEAE	unreviewed	Regulatory protein PcrH	pcrH PA1707	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	167								2XCB;2XCC;
Q4QHU7	Q4QHU7_LEIMA	unreviewed	Prolyl endopeptidase (EC 3.4.21.-)	OPB LMJF_09_0770	Leishmania major	731							5664.LmjF.09.0770;	2XE4;
P33981	TTK_HUMAN	reviewed	Dual specificity protein kinase TTK (EC 2.7.12.1) (Phosphotyrosine picked threonine-protein kinase) (PYT)	TTK MPS1 MPS1L1	Homo sapiens (Human)	857					"MUTAGEN 664;  /note=""D->A: Loss of kinase activity."";  /evidence=""ECO:0000269|PubMed:18243099, ECO:0000269|PubMed:18480048""; MUTAGEN 686;  /note=""T->A: Loss of kinase activity."";  /evidence=""ECO:0000269|PubMed:18480048"""	P33981;	9606.ENSP00000358813;	2X9E;2ZMC;2ZMD;3CEK;3DBQ;3GFW;3H9F;3HMN;3HMO;3HMP;3VQU;3W1F;3WYX;3WYY;3WZJ;3WZK;4B94;4BHZ;4BI0;4BI1;4BI2;4C4E;4C4F;4C4G;4C4H;4C4I;4C4J;4CV8;4CV9;4CVA;4D2S;4H7X;4H7Y;4JS8;4JT3;4O6L;4ZEG;5AP0;5AP1;5AP2;5AP3;5AP4;5AP5;5AP6;5AP7;5EH0;5EHL;5EHO;5EHY;5EI2;5EI6;5EI8;5LJJ;5MRB;5N7V;5N84;5N87;5N93;5N9S;5NA0;5NAD;5NTT;5O91;6B4W;6GVJ;6H3K;6N6O;6TN9;6TNB;6TNC;6TND;7CHM;7CHN;7CHT;7CIL;7CJA;7CLH;
Q86TB9	PATL1_HUMAN	reviewed	Protein PAT1 homolog 1 (PAT1-like protein 1) (Protein PAT1 homolog b) (Pat1b) (hPat1b)	PATL1 OK/KNS-cl.5	Homo sapiens (Human)	770					"MUTAGEN 86;  /note=""L->A: Loss of nuclear export; when associated with A-90, A-93 and A-95."";  /evidence=""ECO:0000269|PubMed:22090346""; MUTAGEN 90;  /note=""L->A: Loss of nuclear export; when associated with A-86, A-93 and A-95."";  /evidence=""ECO:0000269|PubMed:22090346""; MUTAGEN 93;  /note=""M->A: Loss of nuclear export; when associated with A-86, A-90 and A-95."";  /evidence=""ECO:0000269|PubMed:22090346""; MUTAGEN 95;  /note=""I->A: Loss of nuclear export; when associated with A-86, A-90 and A-93."";  /evidence=""ECO:0000269|PubMed:22090346""; MUTAGEN 519;  /note=""R->A: In mut1; Abolishes RNA-binding, localization to P-body and interaction with the decapping machinery; when associated with A-520; A-591; A-595; A-625 and A-626."";  /evidence=""ECO:0000269|PubMed:20543818""; MUTAGEN 520;  /note=""R->A: In mut1; Abolishes RNA-binding, localization to P-body and interaction with the decapping machinery; when associated with A-519; A-591; A-595; A-625 and A-626."";  /evidence=""ECO:0000269|PubMed:20543818""; MUTAGEN 523;  /note=""L->A: In mut2; Abolishes interaction with the decapping machinery and localization to P-body; when associated with A-527; A-530 and S-534."";  /evidence=""ECO:0000269|PubMed:20543818""; MUTAGEN 527;  /note=""E->A: In mut2; Abolishes interaction with the decapping machinery and localization to P-body; when associated with S-523; A-530 and S-534."";  /evidence=""ECO:0000269|PubMed:20543818""; MUTAGEN 530;  /note=""Y->A: In mut2; Abolishes interaction with the decapping machinery and localization to P-body; when associated with S-523; A-527 and S-534."";  /evidence=""ECO:0000269|PubMed:20543818""; MUTAGEN 534;  /note=""L->S: In mut2; Abolishes interaction with the decapping machinery and localization to P-body; when associated with S-523; A-527 and A-530."";  /evidence=""ECO:0000269|PubMed:20543818""; MUTAGEN 539..557;  /note=""YERRYLLSLEEERPALMDD->GSGSGSG: In mut3; does not affect neither RNA-binding,interaction with the decapping machinery, nor localization to P-body."";  /evidence=""ECO:0000269|PubMed:20543818""; MUTAGEN 591;  /note=""R->A: In mut1; Abolishes RNA-binding, localization to P-body and interaction with the decapping machinery; when associated with A-519; A-520; A-595; A-625 and A-626."";  /evidence=""ECO:0000269|PubMed:20543818""; MUTAGEN 595;  /note=""R->A: In mut1; Abolishes RNA-binding, localization to P-body and interaction with the decapping machinery; when associated with A-519; A-520; A-591; A-625 and A-626."";  /evidence=""ECO:0000269|PubMed:20543818""; MUTAGEN 625;  /note=""K->A: In mut1; Abolishes RNA-binding, localization to P-body and interaction with the decapping machinery; when associated with A-519; A-520; A-591; A-595 and A-626."";  /evidence=""ECO:0000269|PubMed:20543818""; MUTAGEN 626;  /note=""K->A: In mut1; Abolishes RNA-binding, localization to P-body and interaction with the decapping machinery; when associated with A-519; A-520; A-591; A-595 and A-625."";  /evidence=""ECO:0000269|PubMed:20543818"""	Q86TB9;	9606.ENSP00000300146;	2XEQ;2XER;2XES;
Q8P6F4	Q8P6F4_XANCP	unreviewed	Cell division coordinator CpoB	cpoB XCC3016	Xanthomonas campestris pv. campestris (strain ATCC 33913 / DSM 3586 / NCPPB 528 / LMG 568 / P 25)	272							340.xcc-b100_1181;	2XEV;
P61965	WDR5_MOUSE	reviewed	WD repeat-containing protein 5 (BMP2-induced 3-kb gene protein) (WD repeat-containing protein BIG-3)	Wdr5 Big Big3	Mus musculus (Mouse)	334						P61965;	10090.ENSMUSP00000109585;	2XL2;2XL3;
Q8DI95	YC48L_THEEB	reviewed	Ycf48-like protein	tll1695	Thermosynechococcus elongatus (strain BP-1)	347							197221.22295420;	2XBG;5OJ5;
O60566	BUB1B_HUMAN	reviewed	Mitotic checkpoint serine/threonine-protein kinase BUB1 beta (EC 2.7.11.1) (MAD3/BUB1-related protein kinase) (hBUBR1) (Mitotic checkpoint kinase MAD3L) (Protein SSK1)	BUB1B BUBR1 MAD3L SSK1	Homo sapiens (Human)	1050			DISEASE: Note=Defects in BUB1B are associated with tumor formation.; DISEASE: Premature chromatid separation trait (PCS) [MIM:176430]: Consists of separate and splayed chromatids with discernible centromeres and involves all or most chromosomes of a metaphase. It is found in up to 2% of metaphases in cultured lymphocytes from approximately 40% of normal individuals. When PCS is present in 5% or more of cells, it is known as the heterozygous PCS trait and has no obvious phenotypic effect, although some have reported decreased fertility. Inheritance is autosomal dominant. {ECO:0000269|PubMed:16411201}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Mosaic variegated aneuploidy syndrome 1 (MVA1) [MIM:257300]: A severe developmental disorder characterized by mosaic aneuploidies, predominantly trisomies and monosomies, involving multiple different chromosomes and tissues. Affected individuals typically present with severe intrauterine growth retardation and microcephaly. Eye anomalies, mild dysmorphism, variable developmental delay, and a broad spectrum of additional congenital abnormalities and medical conditions may also occur. The risk of malignancy is high, with rhabdomyosarcoma, Wilms tumor and leukemia reported in several cases. {ECO:0000269|PubMed:15475955}. Note=The disease is caused by variants affecting the gene represented in this entry. MVA1 is caused by biallelic mutations in the BUB1B gene.		"MUTAGEN 159;  /note=""A->W: Loss of interaction with KNL1."";  /evidence=""ECO:0000269|PubMed:17981135""; MUTAGEN 175;  /note=""F->A: Loss of interaction with KNL1."";  /evidence=""ECO:0000269|PubMed:17981135""; MUTAGEN 579;  /note=""D->E: Abolishes the cleavage by caspase-3."";  /evidence=""ECO:0000269|PubMed:16227576""; MUTAGEN 610;  /note=""D->E: Abolishes the cleavage by caspase-3."";  /evidence=""ECO:0000269|PubMed:16227576""; MUTAGEN 620;  /note=""T->A: Induces chromosome congression defects and mitotic delay."";  /evidence=""ECO:0000269|PubMed:17785528""; MUTAGEN 795;  /note=""K->A: Does not abolish the capacity to inhibit APC/CDC20."";  /evidence=""ECO:0000269|PubMed:11702782, ECO:0000269|PubMed:12925705""; MUTAGEN 795;  /note=""K->R: Inhibits kinase activity."";  /evidence=""ECO:0000269|PubMed:11702782, ECO:0000269|PubMed:12925705"""	O60566;	9606.ENSP00000287598;	2WVI;3SI5;4GGD;5JJA;5K6S;5KHU;5LCW;5SWF;6TLJ;
P41889	CUT9_SCHPO	reviewed	Anaphase-promoting complex subunit cut9 (20S cyclosome/APC complex protein cut9) (Cell untimely torn protein 9)	cut9 dre1 SPAC6F12.15c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	671					"MUTAGEN 412;  /note=""G->D: In cut9-T98; temperature-sensitive."";  /evidence=""ECO:0000269|PubMed:7798319""; MUTAGEN 535;  /note=""A->T: In cut9-665; temperature-sensitive."";  /evidence=""ECO:0000269|PubMed:7798319"""	P41889;	4896.SPAC6F12.15c.1;	2XPI;
Q80ZD8	AMGO1_MOUSE	reviewed	Amphoterin-induced protein 1 (AMIGO-1) (Alivin-2)	Amigo1 Ali2 Amigo Kiaa1163	Mus musculus (Mouse)	492					"MUTAGEN 348;  /note=""N->A: Prevents from leaving the ER."";  /evidence=""ECO:0000269|PubMed:21983541"""	Q80ZD8;	10090.ENSMUSP00000102267;	2XOT;
Q9MCI8	EIBD_ECOLX	reviewed	Immunoglobulin-binding protein EibD (Trimeric autotransporter adhesin EibD) (TAA EibD) (Type 5 secretion system autotransporter EibD)	eibD	Escherichia coli	511					"MUTAGEN 332..334;  /note=""KKY->AAA: Loss of IgA binding by fragment 161-418, no change in IgG binding."";  /evidence=""ECO:0000269|PubMed:21742268""; MUTAGEN 387..388;  /note=""DY->AA: 2-fold decreased affinity for IgA, at least 5-fold decreased affinity for IgG by fragment 161-418."";  /evidence=""ECO:0000269|PubMed:21742268""; MUTAGEN 415..417;  /note=""TRT->AAA: 5-fold decreased affinity for IgA, 4-fold decreased affinity for IgG by fragment 161-418."";  /evidence=""ECO:0000269|PubMed:21742268"""			2XQH;2XZR;
Q70C34	Q70C34_XANAL	unreviewed	Chain B (McbG-like protein)	albXIX XaFJ1_GM001502	Xanthomonas albilineans	200								2XT2;2XT4;
O95198	KLHL2_HUMAN	reviewed	Kelch-like protein 2 (Actin-binding protein Mayven)	KLHL2	Homo sapiens (Human)	593						O95198;	9606.ENSP00000424198;	2XN4;4CHB;
P16473	TSHR_HUMAN	reviewed	Thyrotropin receptor (Thyroid-stimulating hormone receptor) (TSH-R)	TSHR LGR3	Homo sapiens (Human)	764			DISEASE: Note=Defects in TSHR are found in patients affected by hyperthyroidism with different etiologies. Somatic, constitutively activating TSHR mutations and/or constitutively activating G(s)alpha mutations have been identified in toxic thyroid nodules (TTNs) that are the predominant cause of hyperthyroidism in iodine deficient areas. These mutations lead to TSH independent activation of the cAMP cascade resulting in thyroid growth and hormone production. TSHR mutations are found in autonomously functioning thyroid nodules (AFTN), toxic multinodular goiter (TMNG) and hyperfunctioning thyroid adenomas (HTA). TMNG encompasses a spectrum of different clinical entities, ranging from a single hyperfunctioning nodule within an enlarged thyroid, to multiple hyperfunctioning areas scattered throughout the gland. HTA are discrete encapsulated neoplasms characterized by TSH-independent autonomous growth, hypersecretion of thyroid hormones, and TSH suppression. Defects in TSHR are also a cause of thyroid neoplasms (papillary and follicular cancers).; DISEASE: Note=Autoantibodies against TSHR are directly responsible for the pathogenesis and hyperthyroidism of Graves disease. Antibody interaction with TSHR results in an uncontrolled receptor stimulation.; DISEASE: Hypothyroidism, congenital, non-goitrous, 1 (CHNG1) [MIM:275200]: A non-autoimmune condition characterized by resistance to thyroid-stimulating hormone (TSH) leading to increased levels of plasma TSH and low levels of thyroid hormone. It presents variable severity depending on the completeness of the defect. Most patients are euthyroid and asymptomatic, with a normal sized thyroid gland. Only a subset of patients develop hypothyroidism and present a hypoplastic thyroid gland. {ECO:0000269|PubMed:10720030, ECO:0000269|PubMed:11095460, ECO:0000269|PubMed:11442002, ECO:0000269|PubMed:12050212, ECO:0000269|PubMed:14725684, ECO:0000269|PubMed:15531543, ECO:0000269|PubMed:25978107, ECO:0000269|PubMed:7528344, ECO:0000269|PubMed:8954020, ECO:0000269|PubMed:9100579, ECO:0000269|PubMed:9185526, ECO:0000269|PubMed:9329388}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Familial gestational hyperthyroidism (HTFG) [MIM:603373]: A condition characterized by abnormally high levels of serum thyroid hormones occurring during early pregnancy. {ECO:0000269|PubMed:9854118}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Hyperthyroidism, non-autoimmune (HTNA) [MIM:609152]: A condition characterized by abnormally high levels of serum thyroid hormones, thyroid hyperplasia, goiter and lack of anti-thyroid antibodies. Typical features of Graves disease such as exophthalmia, myxedema, antibodies anti-TSH receptor and lymphocytic infiltration of the thyroid gland are absent. {ECO:0000269|PubMed:10199795, ECO:0000269|PubMed:10852462, ECO:0000269|PubMed:11081252, ECO:0000269|PubMed:11127522, ECO:0000269|PubMed:11201847, ECO:0000269|PubMed:11517004, ECO:0000269|PubMed:11549687, ECO:0000269|PubMed:15163335, ECO:0000269|PubMed:7800007, ECO:0000269|PubMed:7920658, ECO:0000269|PubMed:8636266, ECO:0000269|PubMed:8964822, ECO:0000269|PubMed:9349581, ECO:0000269|PubMed:9360555, ECO:0000269|PubMed:9398746, ECO:0000269|PubMed:9589634}. Note=The disease is caused by variants affecting the gene represented in this entry.		"MUTAGEN 283;  /note=""C->S: Abolishes cell surface expression."";  /evidence=""ECO:0000269|PubMed:11847099""; MUTAGEN 385..387;  /note=""YDY->EDE: Inhibits intracellular cAMP accumulation."";  /evidence=""ECO:0000269|PubMed:11847099""; MUTAGEN 385..387;  /note=""YDY->FDF: Abolishes sulfation. Inhibits intracellular cAMP accumulation."";  /evidence=""ECO:0000269|PubMed:11847099""; MUTAGEN 385;  /note=""Y->E: Reduces binding with thyrotropin. Inhibits intracellular cAMP accumulation."";  /evidence=""ECO:0000269|PubMed:11847099, ECO:0000305|PubMed:11847099""; MUTAGEN 385;  /note=""Y->F: Reduces sulfation. Reduces binding with thyrotropin. Inhibits intracellular cAMP accumulation."";  /evidence=""ECO:0000269|PubMed:11847099, ECO:0000305|PubMed:11847099""; MUTAGEN 387;  /note=""Y->E: No change in intracellular cAMP accumulation."";  /evidence=""ECO:0000269|PubMed:11847099""; MUTAGEN 387;  /note=""Y->F: Reduces sulfation. No change in intracellular cAMP accumulation."";  /evidence=""ECO:0000269|PubMed:11847099"""	P16473;	9606.ENSP00000441235;	1XUM;2XWT;3G04;
Q9HWP4	Q9HWP4_PSEAE	unreviewed	Probable porin	PA4137	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	418								2Y0H;3T0S;
Q2I1Y8	Q2I1Y8_KLEPN	unreviewed	QnrB1 (Quinolone resistance pentapeptide repeat protein QnrB1)	qnrB1 G5637_27160	Klebsiella pneumoniae	214								2XTW;2XTX;2XTY;
